,cuisine_SP,lime,garlic,tomato,cilantro,fresh pepper,bell pepper,avocado,beans,cumin,chili powder,salsa,corn,sour cream,canned pepper,paprika,mango,oregano,lemon,broth,orange
63,['Mexican'],1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
64,['Mexican'],1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,['Mexican'],0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
66,['Mexican'],0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
67,['Mexican'],1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,['Mexican'],0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69,['Mexican'],0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
70,['Mexican'],0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
71,['Mexican'],0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
72,['Mexican'],1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
73,['Mexican'],0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,['Mexican'],1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
76,['Mexican'],1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
77,['Mexican'],0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
78,['Mexican'],0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,['Mexican'],1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,['Mexican'],0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,['Mexican'],0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,['Mexican'],0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
83,['Mexican'],0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
84,['Mexican'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,['Mexican'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,['Mexican'],1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
87,['Mexican'],1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
88,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,['Mexican'],0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
90,['Mexican'],1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
91,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,['Mexican'],0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
93,['Mexican'],0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
94,['Mexican'],1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
95,['Mexican'],0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
96,['Mexican'],1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
97,['Mexican'],0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,['Mexican'],0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,['Mexican'],1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
