,0,1,2,3,4
0,garlic,pasta,tomato,,
1,pasta,tomato,onion,,
2,garlic,tomato,italian cheese,basil,
3,garlic,tomato,pasta,italian cheese,
4,garlic,pasta,tomato,onion,
5,italian cheese,pasta,tomato,onion,
6,italian cheese,onion,garlic,pasta,tomato
