,bacon,garlic,mushrooms,parsley,broth,wine,berries,mediterranean cheese,pasta,onion,thyme,bay leaves
bay leaves,35,39,27,29,29,45,0,0,0,41,43,0
broth,37,53,18,119,0,119,0,0,0,73,99,99
bacon,0,6,6,7,0,0,0,0,0,5,0,0
wine,14,14,9,11,0,0,0,0,0,13,5,0
crepes,0,0,0,0,0,0,2,2,0,0,0,0
berries,0,0,0,0,0,0,0,1,0,0,0,0
mushrooms,0,2,0,1,0,0,0,0,0,0,0,0
lemon,0,0,0,0,0,0,0,0,1,0,0,0
thyme,15,11,10,10,0,10,0,0,0,7,0,0
onion,1,3,3,1,0,0,0,0,0,0,0,0
parsley,10,22,0,0,0,42,0,0,0,34,42,42
