,0,1,2,3,4,5,6,7,8
374,parsley,wine,onion,garlic,bacon,mushrooms,,,
375,wine,thyme,onion,garlic,bacon,mushrooms,,,
376,parsley,wine,thyme,garlic,bacon,mushrooms,,,
377,parsley,wine,thyme,onion,garlic,bacon,,,
378,parsley,wine,thyme,onion,bacon,mushrooms,,,
379,broth,parsley,bay leaves,onion,garlic,mushrooms,,,
380,broth,bay leaves,thyme,onion,garlic,mushrooms,,,
381,broth,bay leaves,wine,onion,garlic,mushrooms,,,
382,broth,parsley,bay leaves,thyme,garlic,mushrooms,,,
383,broth,parsley,bay leaves,wine,garlic,mushrooms,,,
384,broth,bay leaves,wine,thyme,garlic,mushrooms,,,
385,broth,parsley,bay leaves,thyme,onion,garlic,,,
386,broth,parsley,bay leaves,wine,onion,garlic,,,
387,broth,bay leaves,wine,thyme,onion,garlic,,,
388,broth,parsley,bay leaves,wine,thyme,garlic,,,
389,broth,parsley,bay leaves,thyme,onion,mushrooms,,,
390,broth,parsley,bay leaves,wine,onion,mushrooms,,,
391,broth,bay leaves,wine,thyme,onion,mushrooms,,,
392,broth,parsley,bay leaves,wine,thyme,mushrooms,,,
393,broth,parsley,bay leaves,wine,thyme,onion,,,
394,parsley,bay leaves,thyme,onion,garlic,mushrooms,,,
395,parsley,bay leaves,wine,onion,garlic,mushrooms,,,
396,bay leaves,wine,thyme,onion,garlic,mushrooms,,,
397,parsley,bay leaves,wine,thyme,garlic,mushrooms,,,
398,parsley,bay leaves,wine,thyme,onion,garlic,,,
399,parsley,bay leaves,wine,thyme,onion,mushrooms,,,
400,broth,parsley,thyme,onion,garlic,mushrooms,,,
401,broth,parsley,wine,onion,garlic,mushrooms,,,
402,broth,wine,thyme,onion,garlic,mushrooms,,,
403,broth,parsley,wine,thyme,garlic,mushrooms,,,
404,broth,parsley,wine,thyme,onion,garlic,,,
405,broth,parsley,wine,thyme,onion,mushrooms,,,
406,parsley,wine,thyme,onion,garlic,mushrooms,,,
407,broth,parsley,bay leaves,onion,garlic,bacon,mushrooms,,
408,broth,bay leaves,thyme,onion,garlic,bacon,mushrooms,,
409,broth,bay leaves,wine,onion,garlic,bacon,mushrooms,,
410,broth,parsley,bay leaves,thyme,garlic,bacon,mushrooms,,
411,broth,parsley,bay leaves,wine,garlic,bacon,mushrooms,,
412,broth,bay leaves,wine,thyme,garlic,bacon,mushrooms,,
413,broth,parsley,bay leaves,thyme,onion,garlic,bacon,,
414,broth,parsley,bay leaves,wine,onion,garlic,bacon,,
415,broth,bay leaves,wine,thyme,onion,garlic,bacon,,
416,broth,parsley,bay leaves,wine,thyme,garlic,bacon,,
417,broth,parsley,bay leaves,thyme,onion,bacon,mushrooms,,
418,broth,parsley,bay leaves,wine,onion,bacon,mushrooms,,
419,broth,bay leaves,wine,thyme,onion,bacon,mushrooms,,
420,broth,parsley,bay leaves,wine,thyme,bacon,mushrooms,,
421,broth,parsley,bay leaves,wine,thyme,onion,bacon,,
422,parsley,bay leaves,thyme,onion,garlic,bacon,mushrooms,,
423,parsley,bay leaves,wine,onion,garlic,bacon,mushrooms,,
424,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,,
425,parsley,bay leaves,wine,thyme,garlic,bacon,mushrooms,,
426,parsley,bay leaves,wine,thyme,onion,garlic,bacon,,
427,parsley,bay leaves,wine,thyme,onion,bacon,mushrooms,,
428,broth,parsley,thyme,onion,garlic,bacon,mushrooms,,
429,broth,parsley,wine,onion,garlic,bacon,mushrooms,,
430,broth,wine,thyme,onion,garlic,bacon,mushrooms,,
431,broth,parsley,wine,thyme,garlic,bacon,mushrooms,,
432,broth,parsley,wine,thyme,onion,garlic,bacon,,
433,broth,parsley,wine,thyme,onion,bacon,mushrooms,,
434,parsley,wine,thyme,onion,garlic,bacon,mushrooms,,
435,broth,parsley,bay leaves,thyme,onion,garlic,mushrooms,,
436,broth,parsley,bay leaves,wine,onion,garlic,mushrooms,,
437,broth,bay leaves,wine,thyme,onion,garlic,mushrooms,,
438,broth,parsley,bay leaves,wine,thyme,garlic,mushrooms,,
439,broth,parsley,bay leaves,wine,thyme,onion,garlic,,
440,broth,parsley,bay leaves,wine,thyme,onion,mushrooms,,
441,parsley,bay leaves,wine,thyme,onion,garlic,mushrooms,,
442,broth,parsley,wine,thyme,onion,garlic,mushrooms,,
443,broth,parsley,bay leaves,thyme,onion,garlic,bacon,mushrooms,
444,broth,parsley,bay leaves,wine,onion,garlic,bacon,mushrooms,
445,broth,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,
446,broth,parsley,bay leaves,wine,thyme,garlic,bacon,mushrooms,
447,broth,parsley,bay leaves,wine,thyme,onion,garlic,bacon,
448,broth,parsley,bay leaves,wine,thyme,onion,bacon,mushrooms,
449,parsley,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,
450,broth,parsley,wine,thyme,onion,garlic,bacon,mushrooms,
451,broth,parsley,bay leaves,wine,thyme,onion,garlic,mushrooms,
452,broth,parsley,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms
